# input	size	timeNs
equal	1000	83333
random	1000	41500
equal	10000	7715375
random	10000	486208
equal	100000	SOE
random	100000	5747125
equal	1000000	SOE
random	1000000	59121000
equal	1000	85917
random	1000	37208
equal	10000	6837541
random	10000	390666
equal	100000	SOE
random	100000	4783875
equal	1000000	SOE
random	1000000	58614792
equal	1000	80792
random	1000	34250
equal	10000	6740292
random	10000	406625
equal	100000	SOE
random	100000	4986666
equal	1000000	SOE
random	1000000	62737417
equal	1000	87791
random	1000	44834
equal	10000	6983708
random	10000	404416
equal	100000	SOE
random	100000	5132709
equal	1000000	SOE
random	1000000	58689084
equal	1000	84584
random	1000	34000
equal	10000	6946083
random	10000	424834
equal	100000	SOE
random	100000	5297833
equal	1000000	SOE
random	1000000	57669750
equal	1000	81459
random	1000	44167
equal	10000	6892459
random	10000	397750
equal	100000	SOE
random	100000	5013875
equal	1000000	SOE
random	1000000	57863958
equal	1000	81000
random	1000	35208
equal	10000	6980458
random	10000	405958
equal	100000	SOE
random	100000	5142541
equal	1000000	SOE
random	1000000	57503667
equal	1000	78083
random	1000	39458
equal	10000	6902292
random	10000	417708
equal	100000	SOE
random	100000	4702458
equal	1000000	SOE
random	1000000	57118958
equal	1000	79584
random	1000	47209
equal	10000	6087125
random	10000	420375
equal	100000	SOE
random	100000	4924000
equal	1000000	SOE
random	1000000	57027666
equal	1000	72292
random	1000	45708
equal	10000	6886584
random	10000	403625
equal	100000	SOE
random	100000	4857292
equal	1000000	SOE
random	1000000	58918334
equal	1000	78708
random	1000	36500
equal	10000	6108000
random	10000	399083
equal	100000	SOE
random	100000	4808500
equal	1000000	SOE
random	1000000	57072792
equal	1000	86583
random	1000	38834
equal	10000	6728250
random	10000	396084
equal	100000	SOE
random	100000	4808208
equal	1000000	SOE
random	1000000	58545792
equal	1000	82666
random	1000	34208
equal	10000	6808541
random	10000	428542
equal	100000	SOE
random	100000	4857291
equal	1000000	SOE
random	1000000	56332875
equal	1000	83333
random	1000	33417
equal	10000	6778833
random	10000	416167
equal	100000	SOE
random	100000	4806917
equal	1000000	SOE
random	1000000	56420834
equal	1000	84084
random	1000	35958
equal	10000	6794458
random	10000	401625
equal	100000	SOE
random	100000	4824000
equal	1000000	SOE
random	1000000	57847458
equal	1000	80792
random	1000	33458
equal	10000	6821917
random	10000	395750
equal	100000	SOE
random	100000	4757208
equal	1000000	SOE
random	1000000	57099084
equal	1000	84334
random	1000	35250
equal	10000	6745917
random	10000	414625
equal	100000	SOE
random	100000	4768250
equal	1000000	SOE
random	1000000	61749833
equal	1000	93125
random	1000	36041
equal	10000	6810042
random	10000	399167
equal	100000	SOE
random	100000	4725500
equal	1000000	SOE
random	1000000	56825458
equal	1000	86500
random	1000	35000
equal	10000	6743000
random	10000	377291
equal	100000	SOE
random	100000	4734166
equal	1000000	SOE
random	1000000	55929708
equal	1000	85708
random	1000	35333
equal	10000	6688458
random	10000	384375
equal	100000	SOE
random	100000	4796875
equal	1000000	SOE
random	1000000	55290667
