# algorithm	order	size	timeNs
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	1024	24041
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	2048	56958
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	4096	109875
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	8192	239667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	16384	487791
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	32768	1043583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	65536	2328584
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	131072	4750709
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	262144	9983250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	524288	21594792
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	1048576	46240000
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	2097152	96942041
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	4194304	202005000
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	8388608	415698417
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	16777216	902753959
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	33554432	1928954833
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	67108864	3812483083
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	134217728	8072911333
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	268435456	16628325333
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	1024	6667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	2048	8875
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	4096	19750
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	8192	36334
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	16384	71667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	32768	139166
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	65536	292042
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	131072	620542
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	262144	1309083
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	524288	2786500
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	1048576	5869000
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	2097152	12625208
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	4194304	25918542
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	8388608	56804791
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	16777216	118147666
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	33554432	248261500
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	67108864	520842959
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	134217728	1085831791
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	ascending	268435456	2242968333
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	1024	6875
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	2048	11083
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	4096	17417
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	8192	42167
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	16384	75583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	32768	153917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	65536	328708
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	131072	724833
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	262144	1427250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	524288	2998375
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	1048576	6359000
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	2097152	13547166
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	4194304	28400750
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	8388608	60661459
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	16777216	127325500
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	33554432	265236417
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	67108864	554004917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	134217728	1146863917
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	descending	268435456	2425297125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	1024	263959
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	2048	362125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	4096	414667
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	8192	585542
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	16384	638708
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	32768	1074125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	65536	2356666
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	131072	4861083
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	262144	10006083
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	524288	21024792
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	1048576	43993791
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	2097152	91621125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	4194304	189442083
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	8388608	402462125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	16777216	833139750
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	33554432	1747810958
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	67108864	3701354459
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	134217728	7504639417
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	random	268435456	15973167958
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	1024	7625
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	2048	9625
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	4096	23334
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	8192	29917
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	16384	71375
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	32768	165125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	65536	289500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	131072	676209
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	262144	1219750
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	524288	3064833
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	1048576	6444583
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	2097152	12616000
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	4194304	29641084
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	8388608	61822333
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	16777216	132089666
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	33554432	273112791
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	67108864	552312792
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	134217728	1138610875
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	ascending	268435456	2504269250
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	1024	10375
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	2048	9792
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	4096	21500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	8192	33333
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	16384	68583
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	32768	167584
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	65536	322041
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	131072	619375
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	262144	1264250
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	524288	2827209
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	1048576	6374500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	2097152	12672375
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	4194304	29164500
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	8388608	61299791
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	16777216	126591459
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	33554432	274482958
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	67108864	540796625
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	134217728	1136948125
DualPivotQuicksortImproved(threshold: 128, pivot: THIRDS)	descending	268435456	2535523459
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	1024	218750
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	2048	436875
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	4096	593791
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	8192	954834
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	16384	523083
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	32768	1098250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	65536	2297459
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	131072	4897708
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	262144	10106250
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	524288	21576583
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	1048576	44885667
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	2097152	95995459
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	4194304	204696958
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	8388608	426943792
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	16777216	897465625
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	33554432	1879066125
QuicksortImproved(threshold: 96, partitioning: QuicksortVariant1(pivot: MIDDLE))	random	67108864	3867533792
