# algorithm	order	size	timeNs
QuicksortVariant1(pivot: RIGHT)	random	1024	38791
QuicksortVariant1(pivot: RIGHT)	random	2048	71583
QuicksortVariant1(pivot: RIGHT)	random	4096	144125
QuicksortVariant1(pivot: RIGHT)	random	8192	283375
QuicksortVariant1(pivot: RIGHT)	random	16384	583083
QuicksortVariant1(pivot: RIGHT)	random	32768	1228125
QuicksortVariant1(pivot: RIGHT)	random	65536	2528875
QuicksortVariant1(pivot: RIGHT)	random	131072	5351709
QuicksortVariant1(pivot: RIGHT)	random	262144	11643584
QuicksortVariant1(pivot: RIGHT)	random	524288	23724458
QuicksortVariant1(pivot: RIGHT)	random	1048576	50658667
QuicksortVariant1(pivot: RIGHT)	random	2097152	105413417
QuicksortVariant1(pivot: RIGHT)	random	4194304	220872000
QuicksortVariant1(pivot: RIGHT)	random	8388608	461115750
QuicksortVariant1(pivot: RIGHT)	random	16777216	957522417
QuicksortVariant1(pivot: RIGHT)	random	33554432	1990145041
QuicksortVariant1(pivot: RIGHT)	random	67108864	4260321417
QuicksortVariant1(pivot: RIGHT)	random	134217728	8578609458
QuicksortVariant1(pivot: RIGHT)	random	268435456	17666496875
QuicksortVariant1(pivot: RIGHT)	ascending	1024	165084
QuicksortVariant1(pivot: RIGHT)	ascending	2048	557708
QuicksortVariant1(pivot: RIGHT)	ascending	4096	2456750
QuicksortVariant1(pivot: RIGHT)	ascending	8192	8013083
QuicksortVariant1(pivot: RIGHT)	ascending	16384	31690500
QuicksortVariant1(pivot: RIGHT)	ascending	32768	SOE
QuicksortVariant1(pivot: RIGHT)	descending	1024	156709
QuicksortVariant1(pivot: RIGHT)	descending	2048	518291
QuicksortVariant1(pivot: RIGHT)	descending	4096	1996250
QuicksortVariant1(pivot: RIGHT)	descending	8192	7929375
QuicksortVariant1(pivot: RIGHT)	descending	16384	31383917
QuicksortVariant1(pivot: RIGHT)	descending	32768	SOE
QuicksortVariant1(pivot: MIDDLE)	random	1024	41375
QuicksortVariant1(pivot: MIDDLE)	random	2048	67709
QuicksortVariant1(pivot: MIDDLE)	random	4096	145291
QuicksortVariant1(pivot: MIDDLE)	random	8192	290833
QuicksortVariant1(pivot: MIDDLE)	random	16384	604542
QuicksortVariant1(pivot: MIDDLE)	random	32768	1295834
QuicksortVariant1(pivot: MIDDLE)	random	65536	2699291
QuicksortVariant1(pivot: MIDDLE)	random	131072	5634292
QuicksortVariant1(pivot: MIDDLE)	random	262144	11636375
QuicksortVariant1(pivot: MIDDLE)	random	524288	24624417
QuicksortVariant1(pivot: MIDDLE)	random	1048576	50936333
QuicksortVariant1(pivot: MIDDLE)	random	2097152	109045584
QuicksortVariant1(pivot: MIDDLE)	random	4194304	221040375
QuicksortVariant1(pivot: MIDDLE)	random	8388608	467913250
QuicksortVariant1(pivot: MIDDLE)	random	16777216	962724375
QuicksortVariant1(pivot: MIDDLE)	random	33554432	2023824583
QuicksortVariant1(pivot: MIDDLE)	random	67108864	4167300875
QuicksortVariant1(pivot: MIDDLE)	random	134217728	8724688083
QuicksortVariant1(pivot: MIDDLE)	random	268435456	17854421083
QuicksortVariant1(pivot: MIDDLE)	ascending	1024	14875
QuicksortVariant1(pivot: MIDDLE)	ascending	2048	14000
QuicksortVariant1(pivot: MIDDLE)	ascending	4096	26833
QuicksortVariant1(pivot: MIDDLE)	ascending	8192	44958
QuicksortVariant1(pivot: MIDDLE)	ascending	16384	94833
QuicksortVariant1(pivot: MIDDLE)	ascending	32768	163250
QuicksortVariant1(pivot: MIDDLE)	ascending	65536	346125
QuicksortVariant1(pivot: MIDDLE)	ascending	131072	708208
QuicksortVariant1(pivot: MIDDLE)	ascending	262144	1433292
QuicksortVariant1(pivot: MIDDLE)	ascending	524288	3000791
QuicksortVariant1(pivot: MIDDLE)	ascending	1048576	6113542
QuicksortVariant1(pivot: MIDDLE)	ascending	2097152	13456958
QuicksortVariant1(pivot: MIDDLE)	ascending	4194304	26500500
QuicksortVariant1(pivot: MIDDLE)	ascending	8388608	60848000
QuicksortVariant1(pivot: MIDDLE)	ascending	16777216	123806084
QuicksortVariant1(pivot: MIDDLE)	ascending	33554432	246390042
QuicksortVariant1(pivot: MIDDLE)	ascending	67108864	492934417
QuicksortVariant1(pivot: MIDDLE)	ascending	134217728	1041350042
QuicksortVariant1(pivot: MIDDLE)	ascending	268435456	2157894917
QuicksortVariant1(pivot: MIDDLE)	descending	1024	9833
QuicksortVariant1(pivot: MIDDLE)	descending	2048	17000
QuicksortVariant1(pivot: MIDDLE)	descending	4096	30584
QuicksortVariant1(pivot: MIDDLE)	descending	8192	55042
QuicksortVariant1(pivot: MIDDLE)	descending	16384	95500
QuicksortVariant1(pivot: MIDDLE)	descending	32768	199375
QuicksortVariant1(pivot: MIDDLE)	descending	65536	395625
QuicksortVariant1(pivot: MIDDLE)	descending	131072	817583
QuicksortVariant1(pivot: MIDDLE)	descending	262144	1660541
QuicksortVariant1(pivot: MIDDLE)	descending	524288	3466084
QuicksortVariant1(pivot: MIDDLE)	descending	1048576	7329375
QuicksortVariant1(pivot: MIDDLE)	descending	2097152	14839750
QuicksortVariant1(pivot: MIDDLE)	descending	4194304	30799417
QuicksortVariant1(pivot: MIDDLE)	descending	8388608	65296625
QuicksortVariant1(pivot: MIDDLE)	descending	16777216	134130167
QuicksortVariant1(pivot: MIDDLE)	descending	33554432	272055041
QuicksortVariant1(pivot: MIDDLE)	descending	67108864	589282875
QuicksortVariant1(pivot: MIDDLE)	descending	134217728	1208739208
